model,reference_period_end_year,reference_period_start_year,region,scenario,unit,variable,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
IAMs,1850,1850,World,SSP3-7.0,GtCO2,Cumulative Emissions|CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2240.98180228075,2281.26241634418,2322.67488644779,2365.21921259159,2408.89539477557,2453.70343299974,2499.31540333319,2545.7313057759,2592.95114032787,2640.97490698912,2689.80260575963,2739.43423663942,2789.86979962847,2841.10929472678,2893.15272193437,2946.00008125123,2999.41250161917,3053.3899830382,3107.93252550831,3163.04012902952,3218.71279360181,3274.95051922518,3331.75330589965,3389.1211536252,3447.05406240184,3505.55203222956,3564.49061093674,3623.86979852337,3683.68959498944,3743.95000033497,3804.65101455995,3865.79263766438,3927.37486964825,3989.39771051158,4051.86116025436,4114.76521887659
Ch.4 assessment,1900,1850,World,SSP3-7.0,K,Surface Air Temperature Change|Mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,1.0935736124719,1.11909558259289,1.14547610506028,1.17046031755272,1.19581557481857,1.22228178775181,1.248367602907,1.27427346300352,1.29958539003647,1.3248405040071,1.35136571412966,1.37889897826953,1.40777946690224,1.43587914344302,1.46390392050869,1.49305526764717,1.52192065357856,1.55010486791617,1.57763521013283,1.6054633905904,1.63524557340947,1.6661720377406,1.69600455589023,1.72513878843042,1.75696499464044,1.79072298350274,1.82281948044665,1.85187501012975,1.88321181695987,1.91604351227263,1.94960770497108,1.98198417065843,2.01285718164127,2.041732933282,2.07630288021003
Ch.4 assessment,1900,1850,World,SSP3-7.0,K,Surface Air Temperature Change|5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.980464399088475,0.9958705771555,1.01356388556988,1.03127538851157,1.04836313956044,1.06668155903102,1.08467856871832,1.10157739220906,1.11890711267155,1.13648089397362,1.15430241876233,1.17267961715709,1.19135747674057,1.21143693643894,1.23079112447998,1.25092346143805,1.27138922749838,1.29262483625056,1.31259166818149,1.33511085805616,1.35730583231673,1.3796227970395,1.40204390704605,1.42237542591688,1.44565135854094,1.47270189999844,1.49816999884076,1.52325655594535,1.54711403207802,1.57108759224045,1.59512604734309,1.61993783810265,1.64483204439468,1.66851102755595,1.69346211011707,1.71688196695854
Ch.4 assessment,1900,1850,World,SSP3-7.0,K,Surface Air Temperature Change|95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16700153762063,1.19955516580569,1.23360637018059,1.26941016238614,1.30872553711835,1.34639977879296,1.38248608447997,1.4182486655758,1.44895529708804,1.48966202262563,1.52519161882304,1.56127668775855,1.5977620047859,1.63068267321336,1.66807718994121,1.70591232220047,1.74462224396344,1.78333198193426,1.82306026642992,1.86179115033172,1.8997149298818,1.94271329726689,1.98185165523339,2.02227788872417,2.06222709673431,2.10423368357949,2.14262130334317,2.1903220142124,2.23223240813089,2.27540849818093,2.31889958997006,2.3621322570703,2.40501104728396,2.44636710460861,2.48892536338596,2.53366210715147
Friedlingstein et al. (2020),1850,1850,World,historical,GtCO2,Cumulative Emissions|CO2,2.66824996332499,5.35592197770744,8.07016117793032,10.811830669252,13.6029291766165,16.4086928733376,19.2461665537945,22.1075914811426,24.9914975939493,27.9036691197156,30.7683952497091,33.6202440059116,36.4642801544916,39.3239183853842,42.2057942703827,45.1123579550733,48.0217053137913,50.9565712798219,53.8996490664465,56.8727585096397,60.059870155382,63.3811974228811,66.8287193021357,70.3784746497756,73.9366618484189,77.5973095777438,81.310611876414,85.0742495122664,88.8764192612385,92.7537419734614,96.7416883442276,100.805648182761,104.952551908422,109.196173346462,113.483168110414,117.807431113041,122.165825077662,126.594932255465,131.160427737711,135.750546187193,140.567341701852,145.544923440373,150.595374914619,155.676061378274,160.851631968962,166.155520678779,171.545488755237,177.049820647527,182.668800310466,188.467589993504,194.479960283894,200.64866852586,206.916449989646,213.425182424415,220.004789635843,226.775319108327,233.70512308271,240.99332531167,248.202966346635,255.558664944652,263.029621863966,270.532634661355,278.162405848288,286.049260599594,293.564915898236,301.024050334034,308.706519419589,316.537146128825,324.306680899291,331.624260959631,339.582089313012,347.221748372406,355.075892498733,363.403817528192,371.782635637799,380.217450773305,388.603129093853,397.341655231589,406.071801823037,415.089517437108,423.974764275971,432.591974960744,440.932607902765,449.527430107888,458.484363817697,467.667035426184,477.288862389048,487.238336005846,496.965752529245,506.950784288018,517.440499332122,528.095360400352,538.722079940275,549.408307766234,560.156286814311,570.00432956051,580.209586361872,590.898131124516,601.796197325013,612.466005550344,624.104186076028,636.388351766581,648.84249244338,661.565035165628,674.522005555727,688.207167762305,702.468109813355,717.060729209272,731.966915345754,747.426063680514,762.842126161413,778.03540095597,793.423913842766,809.198324029874,825.343621896931,841.824954283825,858.719091888414,875.922912034301,893.765987677639,912.487942293302,932.293245687566,952.613386263943,973.543360595596,995.299597713809,1016.87530138072,1038.3687580471,1060.69344484202,1083.45246904102,1106.78036316199,1130.50482073237,1154.25909480148,1177.54163743742,1200.68970814767,1224.12674101925,1248.23762840473,1273.09915575612,1298.33331665351,1324.30784055958,1351.1928783345,1378.48396483355,1406.16167157619,1434.26979276069,1461.66014847965,1489.29441826626,1517.06666077227,1545.29100238119,1574.17137070347,1604.91393453359,1633.59364721255,1662.53267261348,1692.7025807769,1722.92074697622,1754.33181292576,1787.17219080221,1821.18732517264,1855.7919308831,1891.6465065793,1927.74673118942,1964.66639151647,2001.9942972346,2040.46505870163,2079.73731568609,2119.94114663447,2160.5469952068,2201.83304425752,2243.29089527183,2284.2111975484,2325.47923043606,2367.59191620524,2410.63753777355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ch.2 assessment,1900,1850,World,historical,K,Surface Air Temperature Change|Mean,-0.0586764705882353,0.0488235294117647,0.0788235294117647,0.0463235294117647,0.0488235294117647,0.0488235294117647,-0.0511764705882353,-0.146176470588235,-0.0386764705882353,0.0688235294117647,-0.0561764705882353,-0.0911764705882353,-0.153676470588235,0.0013235294117647,-0.0486764705882353,0.0338235294117647,0.0513235294117647,0.0488235294117647,0.0613235294117647,0.0588235294117647,0.0213235294117647,-0.0061764705882352,0.0238235294117647,0.0163235294117647,-0.0211764705882353,-0.0061764705882352,-0.0436764705882353,0.271323529411765,0.331323529411765,0.0838235294117647,0.0313235294117647,0.116323529411765,0.0638235294117648,-0.0011764705882352,-0.128676470588235,-0.133676470588235,-0.113676470588235,-0.168676470588235,-0.0111764705882353,0.111323529411765,-0.146176470588235,-0.0386764705882353,-0.121176470588235,-0.118676470588235,-0.101176470588235,-0.0586764705882353,0.0888235294117647,0.0888235294117647,-0.113676470588235,0.0163235294117647,0.116323529411765,0.0638235294117647,-0.0786764705882353,-0.168676470588235,-0.238676470588235,-0.0536764705882353,0.0238235294117647,-0.133676470588235,-0.173676470588235,-0.221176470588235,-0.191176470588235,-0.208676470588235,-0.136176470588235,-0.113676470588235,0.0788235294117647,0.136323529411765,-0.0861764705882353,-0.213676470588235,-0.0611764705882353,-0.0061764705882352,0.0338235294117647,0.0738235294117648,-0.0086764705882352,0.0163235294117647,0.0188235294117647,0.0563235294117647,0.186323529411765,0.0813235294117647,0.0913235294117647,-0.0711764705882353,0.136323529411765,0.198823529411765,0.153823529411765,-0.0111764705882353,0.136323529411765,0.0888235294117647,0.136323529411765,0.283823529411765,0.286323529411765,0.271323529411765,0.371323529411765,0.356323529411765,0.321323529411765,0.348823529411765,0.471323529411765,0.348823529411765,0.196323529411765,0.241323529411765,0.181323529411765,0.173823529411765,0.0963235294117647,0.251323529411765,0.323823529411765,0.388823529411765,0.196323529411765,0.138823529411765,0.0763235294117647,0.296323529411765,0.306323529411765,0.286323529411765,0.231323529411765,0.308823529411765,0.261323529411765,0.296323529411765,0.0463235294117647,0.153823529411765,0.206323529411765,0.238823529411765,0.171323529411765,0.313823529411765,0.273823529411765,0.153823529411765,0.261323529411765,0.403823529411765,0.183823529411765,0.241323529411765,0.148823529411765,0.453823529411765,0.348823529411765,0.436323529411765,0.541323529411765,0.586323529411765,0.396323529411765,0.571323529411765,0.408823529411765,0.401323529411765,0.441323529411765,0.578823529411765,0.633823529411765,0.523823529411765,0.698823529411765,0.676323529411765,0.473823529411765,0.521323529411765,0.576323529411765,0.726323529411765,0.613823529411765,0.758823529411765,0.901323529411765,0.666323529411765,0.668823529411765,0.811323529411765,0.881323529411765,0.878823529411765,0.803823529411765,0.943823529411765,0.903823529411765,0.921323529411765,0.796323529411765,0.926323529411765,0.996323529411765,0.881323529411765,0.906323529411765,0.936323529411765,1.00632352941176,1.14882352941176,1.26382352941176,1.17882352941176,1.10132352941177,1.22632352941176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ch.2 assessment,1900,1850,World,historical,K,Surface Air Temperature Change|Anthropogenic|Mean,-0.03,-0.0285833333333333,-0.0271666666666667,-0.0255833333333333,-0.025,-0.025,-0.024,-0.024,-0.0235833333333333,-0.023,-0.0236666666666667,-0.0241666666666667,-0.025,-0.025,-0.025,-0.0245,-0.024,-0.0230833333333333,-0.0218333333333333,-0.0204166666666667,-0.0183333333333333,-0.0163333333333333,-0.0145833333333333,-0.0123333333333333,-0.0096666666666666,-0.007,-0.004,-0.0016666666666666,0.0003333333333333,0.0024166666666666,0.0039166666666666,0.0053333333333333,0.00675,0.008,0.0096666666666666,0.01175,0.014,0.0175833333333333,0.0221666666666667,0.0265,0.0301666666666667,0.0336666666666667,0.0370833333333333,0.0405833333333333,0.04375,0.0464166666666667,0.049,0.0515,0.0545,0.05825,0.0613333333333334,0.0635,0.0651666666666667,0.0675,0.0711666666666667,0.07475,0.0778333333333333,0.082,0.08575,0.0900833333333333,0.09425,0.0971666666666667,0.10075,0.104583333333333,0.108833333333333,0.113916666666667,0.119916666666667,0.12575,0.130833333333333,0.136333333333333,0.142083333333333,0.14775,0.153,0.157083333333333,0.160916666666667,0.164583333333333,0.167666666666667,0.170666666666667,0.174,0.177916666666667,0.182,0.185583333333333,0.19,0.194583333333333,0.199583333333333,0.205083333333333,0.209833333333333,0.2135,0.217833333333333,0.222416666666667,0.227166666666667,0.231666666666667,0.235666666666667,0.24,0.243666666666667,0.24675,0.249,0.250916666666667,0.252583333333333,0.254083333333333,0.255916666666667,0.257916666666667,0.260333333333333,0.262833333333333,0.265416666666667,0.267833333333333,0.270333333333333,0.273416666666667,0.27675,0.280416666666667,0.285083333333333,0.28875,0.292583333333333,0.296,0.299833333333333,0.30425,0.309583333333333,0.3155,0.321666666666667,0.3285,0.336166666666667,0.344416666666667,0.354583333333333,0.3665,0.379416666666667,0.39425,0.41,0.426583333333333,0.444416666666667,0.463166666666667,0.4825,0.50275,0.52175,0.5395,0.5575,0.5755,0.593,0.611,0.629083333333333,0.647416666666667,0.664916666666667,0.681833333333333,0.698083333333333,0.713833333333333,0.727583333333333,0.740666666666667,0.754083333333333,0.767916666666667,0.78175,0.796333333333333,0.811583333333333,0.826583333333333,0.8415,0.857583333333333,0.873916666666667,0.8915,0.9095,0.927833333333333,0.94675,0.965833333333333,0.984166666666667,1.003,1.02191666666667,1.0425,1.06433333333333,1.08658333333333,1.11025,1.13633333333333,1.1635,1.19166666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ch.2 assessment,1900,1850,World,historical,K,Surface Air Temperature Change|Anthropogenic|5%,-0.03875,-0.0374166666666667,-0.0360833333333333,-0.0350833333333334,-0.0340833333333334,-0.0336666666666667,-0.033,-0.0326666666666667,-0.032,-0.032,-0.032,-0.031,-0.031,-0.031,-0.0308333333333333,-0.03,-0.0299166666666667,-0.0288333333333333,-0.0275833333333333,-0.0259166666666667,-0.0238333333333333,-0.0214166666666667,-0.019,-0.0165,-0.0139166666666667,-0.0115,-0.0093333333333333,-0.0075,-0.0059166666666666,-0.0048333333333333,-0.004,-0.0035833333333333,-0.0026666666666666,-0.0015833333333333,-0.0003333333333333,0.0014166666666666,0.0035833333333333,0.00625,0.0094166666666666,0.0126666666666667,0.0163333333333333,0.0201666666666667,0.0241666666666667,0.0281666666666667,0.0321666666666667,0.0361666666666667,0.0395833333333333,0.04275,0.0453333333333333,0.04775,0.04975,0.0516666666666667,0.0535833333333333,0.05575,0.0583333333333333,0.06125,0.0645833333333333,0.0681666666666667,0.0719166666666667,0.0756666666666667,0.0794166666666667,0.0831666666666667,0.087,0.0908333333333333,0.0950833333333333,0.0993333333333333,0.10375,0.108166666666667,0.113,0.117583333333333,0.122166666666667,0.1265,0.130666666666667,0.1345,0.138,0.141416666666667,0.1445,0.1475,0.15075,0.154,0.157416666666667,0.160833333333333,0.1645,0.1685,0.1725,0.17675,0.180833333333333,0.185166666666667,0.189583333333333,0.193916666666667,0.19825,0.2025,0.2065,0.21025,0.213333333333333,0.216083333333333,0.21875,0.220833333333333,0.222666666666667,0.2245,0.2265,0.22825,0.22925,0.23,0.229,0.227666666666667,0.225333333333333,0.221833333333333,0.21775,0.213083333333333,0.208333333333333,0.203,0.196416666666667,0.188416666666667,0.17925,0.169083333333333,0.15925,0.150083333333333,0.142666666666667,0.1365,0.13175,0.12925,0.131833333333333,0.138916666666667,0.1495,0.162666666666667,0.178,0.1965,0.218333333333333,0.243583333333333,0.270833333333333,0.29825,0.322666666666667,0.344833333333333,0.366166666666667,0.386916666666667,0.4065,0.425583333333333,0.445083333333333,0.465,0.48475,0.503666666666667,0.5225,0.54025,0.55725,0.57425,0.591833333333333,0.6095,0.627583333333333,0.646666666666667,0.665833333333333,0.684916666666667,0.704833333333333,0.725583333333333,0.748,0.770666666666667,0.7935,0.8155,0.835916666666667,0.855583333333334,0.874,0.891916666666667,0.9095,0.9275,0.945916666666667,0.964666666666667,0.984,1.00391666666667,1.02441666666667,1.04525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ch.2 assessment,1900,1850,World,historical,K,Surface Air Temperature Change|Anthropogenic|95%,0.003,0.0021666666666666,0.0015833333333333,0.00025,-0.0013333333333333,-0.0033333333333333,-0.00575,-0.00775,-0.0098333333333333,-0.0119166666666667,-0.01375,-0.0155,-0.0170833333333333,-0.0184166666666667,-0.0195,-0.02,-0.0198333333333333,-0.019,-0.0179166666666667,-0.0165833333333333,-0.0149166666666667,-0.0129166666666667,-0.0105833333333333,-0.0080833333333333,-0.0054166666666666,-0.0029166666666666,-0.0005833333333333,0.0015833333333333,0.0035,0.0053333333333333,0.0071666666666666,0.009,0.0109166666666667,0.0130833333333333,0.01525,0.01775,0.0204166666666667,0.0233333333333333,0.0265833333333333,0.03,0.0335,0.0375,0.0415833333333333,0.0458333333333333,0.0500833333333333,0.0541666666666667,0.058,0.0616666666666667,0.06475,0.0676666666666667,0.0703333333333333,0.0729166666666666,0.0756666666666667,0.0785,0.0816666666666667,0.0854166666666667,0.0893333333333333,0.0935833333333333,0.0980833333333333,0.102583333333333,0.107083333333333,0.111833333333333,0.116583333333333,0.121416666666667,0.126666666666667,0.132333333333333,0.138083333333333,0.144583333333333,0.151333333333333,0.158416666666667,0.1655,0.172333333333333,0.17825,0.183416666666667,0.187916666666667,0.192,0.195833333333333,0.1995,0.20325,0.207166666666667,0.211166666666667,0.21525,0.219833333333333,0.224916666666667,0.230083333333333,0.2355,0.241,0.247,0.253,0.259,0.265166666666667,0.27125,0.27675,0.28175,0.285833333333333,0.289333333333333,0.292333333333333,0.295,0.297333333333333,0.29975,0.302083333333333,0.304333333333333,0.306,0.307583333333333,0.309333333333333,0.311583333333333,0.3145,0.318166666666667,0.322583333333333,0.327416666666667,0.333,0.339,0.345,0.351166666666667,0.357583333333333,0.364166666666667,0.371416666666667,0.379,0.3875,0.396583333333333,0.406416666666667,0.417083333333333,0.4285,0.441583333333333,0.455166666666667,0.4695,0.484583333333333,0.5,0.516333333333333,0.534,0.552416666666667,0.571333333333333,0.58975,0.608,0.626333333333333,0.644583333333333,0.663,0.68125,0.699916666666667,0.719,0.738083333333333,0.756916666666667,0.774833333333333,0.791583333333333,0.80725,0.823,0.8385,0.854333333333333,0.870333333333333,0.886666666666667,0.903583333333333,0.920416666666667,0.937416666666667,0.955333333333333,0.97425,0.993916666666667,1.01408333333333,1.03466666666667,1.05558333333333,1.077,1.09875,1.12133333333333,1.14541666666667,1.17308333333333,1.20425,1.23875,1.27783333333333,1.32158333333333,1.37008333333333,1.42291666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAMs,1850,1850,World,SSP2-4.5,GtCO2,Cumulative Emissions|CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2240.98180228075,2280.43031467864,2320.17858145119,2360.22660259838,2400.57437812024,2441.22190801674,2482.15229117884,2523.36552760654,2564.86161729984,2606.64056025873,2648.70235648321,2691.04700597329,2733.67450872897,2776.58486475025,2819.77807403712,2863.25413658959,2906.80788288993,2950.43931293817,2994.14842673428,3037.93522427828,3081.79970557016,3125.74187060993,3169.76171939758,3213.85925193311,3258.03446821652,3302.28736824782,3346.46119728024,3390.55595531379,3434.57164234845,3478.50825838424,3522.36580342116,3566.14427745919,3609.84368049836,3653.46401253864,3697.00527358004,3740.46746362257
