model,reference_period_end_year,reference_period_start_year,region,scenario,unit,variable,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
Ch.4 Assessed,1900,1850,World,SSP2-4.5,K,Surface Air Temperature Change|5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.011144608189148,1.029887849284629,1.047697989419192,1.064357115146933,1.081321736737715,1.100338789488446,1.119937782242221,1.138716512481406,1.154824296961826,1.171267595654264,1.183635069575731,1.201553500518716,1.219137705763506,1.237643951975757,1.256396785535068,1.274936568271051,1.292468584707412,1.308623294101188,1.324961657783553,1.342530448089616,1.35906994453849,1.375798721833882,1.39280257433538,1.411512043538506,1.430457863527148,1.447977301937588,1.464779510570541,1.482958172105699,1.501285494546965,1.518787094719242,1.535671297561093,1.551353970019864,1.566968531338836,1.583189501940827,1.597920268376517,1.613801546322585,1.630250556770416,1.647301767478667,1.661258232273453,1.675918117940904,1.690577164761637,1.703619849040057,1.717177834944992,1.730962089990991,1.743458393353137,1.758285298623466,1.773046520911895,1.785509831347526,1.79937550013,1.814209078734776,1.827924401037371,1.840756963658778,1.854123418373639,1.8674294640655,1.879681028643527,1.89076174123668,1.901598856647638,1.914047230726197,1.926265692963141,1.937030967599739,1.947886629700426,1.959221779585036,1.970828215305596,1.981238540654623,1.990776585611687,1.999453727856842,2.008041730579369,2.017824317078491,2.025909161838232,2.033985478702412,2.044171133557958,2.054352756165188,2.0627976879693,2.07056644272485,2.078155205109254,2.085345749485891,2.093935020295826,2.10078843122503,2.107396097311242,2.114528169856752,2.121174476384338,2.126581449670941,2.132023202616776,2.138235772581498,2.144144373483601
Ch.4 Assessed,1900,1850,World,SSP2-4.5,K,Surface Air Temperature Change|95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.194781866470071,1.229157003732183,1.264237823310561,1.300235844871304,1.336964835173345,1.377739358872148,1.412803966933381,1.447621289126446,1.48177929211348,1.51508760726553,1.548510258018096,1.581507169502703,1.615513408180928,1.649756037744748,1.68445996702132,1.719285453897807,1.753360468622823,1.785807755600006,1.819314982323102,1.852066717813797,1.883886441373794,1.915774851605658,1.947663860125229,1.981725927171893,2.015682911162007,2.048896824633195,2.083229703021045,2.117549809711891,2.151695108973837,2.186173353111513,2.226299123668887,2.258704353254239,2.293169330986506,2.328049804452505,2.359299245443345,2.400274990804041,2.423388203048785,2.461921457303672,2.49422380643913,2.524524755939417,2.545671127787888,2.576943513780297,2.606077760399856,2.633794612105778,2.662063183471143,2.699825595115479,2.728224836907218,2.765178908370747,2.792999655781339,2.819375595769235,2.846629969271956,2.871768497458369,2.897578101996441,2.921361727790963,2.945109756968359,2.968366922742272,3.000346851212024,3.024821906792845,3.047696385774695,3.072036799305653,3.095418606614993,3.118471458815042,3.142116962817691,3.165511963597964,3.186745369482967,3.207514772846567,3.228755901772369,3.250691704655104,3.272186146528787,3.292892258121448,3.31270451495417,3.334216546816493,3.355945505650742,3.376209412249879,3.396525164481891,3.415727346740452,3.435020169946073,3.453625845798858,3.471900048231816,3.487837780475231,3.504371380569069,3.520521903405434,3.536065590555114,3.550991276932196,3.565740716869523
Ch.4 Assessed,1900,1850,World,SSP2-4.5,K,Surface Air Temperature Change|Mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.103229250277399,1.126901763726403,1.151919167334748,1.177257279186332,1.202910643228808,1.229934511291803,1.255799225135755,1.281325570401344,1.306667293213803,1.332846258276053,1.357636731600403,1.381202411243138,1.405550502516968,1.432808940708781,1.458037593503638,1.48294275576227,1.506218010741999,1.529446014101711,1.55143229097889,1.57280012306276,1.594112393233473,1.617129302052716,1.640932093307593,1.665194436449729,1.689145254915772,1.712334759468767,1.736928985891696,1.761675215485853,1.786704845768131,1.809090932484144,1.830748445375887,1.854509374921051,1.879956885551003,1.901738632855262,1.922370183236501,1.945773952960029,1.973295137181203,1.994489480628724,2.017039307240727,2.038640485367845,2.061187218890431,2.08390441525191,2.104357818026344,2.124835498843853,2.145506849961031,2.165121682983608,2.186229470745906,2.205377039197232,2.225378859349763,2.245274116522965,2.263407089726816,2.281256409859877,2.298366148618806,2.316237794366196,2.333860646961639,2.349677231980654,2.365764146647241,2.385652581523845,2.400872440914906,2.420856025464448,2.436986627793978,2.449282569916706,2.469227024986556,2.484956600773621,2.498688922186961,2.512986405915874,2.527228874071578,2.542410977822211,2.55704964211911,2.571728182087239,2.586203366835649,2.600524191055035,2.61444253695513,2.627413769063695,2.638886883053936,2.650091970257829,2.664827267419061,2.675315456997634,2.686949805610418,2.69834570693205,2.709810211549113,2.721366588884118,2.730280536642366,2.739833944639895,2.748133705341387
Ch.4 Assessed,1900,1850,World,historical,K,Surface Air Temperature Change|5%,-0.06003,-0.0556856,-0.0428913,-0.0205299,-0.127657,-0.0454359,-0.122056,-0.0815188,-0.0351503,-0.0235373,-0.083648,0.0237076,-0.114702,-0.154688,-0.199097,-0.189913,-0.0801923,-0.252428,-0.225698,-0.141856,-0.0973114,-0.187701,-0.179701,-0.0230189,-0.0151033,-0.0295577,-0.0158827,0.0225135,0.0282921,-0.0254563,0.0330293,0.113745,0.0713663,-0.0139346,0.134554,0.0504538,0.145226,0.166573,0.152693,0.293242,0.409507,0.300284,0.065736,0.149989,0.167363,0.282344,0.356335,0.434545,0.445872,0.445269,0.537534,0.604782,0.597459,0.682348,0.689514,0.693329,0.692701,0.732211,0.792066,0.797398,0.836971,0.842644,0.882825,0.913046,0.930436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ch.4 Assessed,1900,1850,World,historical,K,Surface Air Temperature Change|95%,0.608546,0.525308,0.540725,0.535419,0.553914,0.541897,0.595489,0.57224,0.534191,0.555881,0.549635,0.596956,0.485732,0.446616,0.358201,0.330021,0.41921,0.43186,0.469934,0.431807,0.493199,0.531925,0.472747,0.451735,0.497963,0.529958,0.468149,0.499191,0.611599,0.570115,0.624456,0.592297,0.585534,0.568651,0.607088,0.646899,0.688514,0.693618,0.695916,0.7338,0.817305,0.814267,0.523401,0.626579,0.681278,0.751686,0.755367,0.845823,0.831704,0.865118,0.871411,0.999765,0.991021,0.994181,1.06856,1.06246,1.08839,1.10407,1.13052,1.15798,1.28012,1.18925,1.24067,1.2857,1.33164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ch.4 Assessed,1900,1850,World,historical,K,Surface Air Temperature Change|Mean,0.252242,0.274715,0.274303,0.253376,0.246369,0.273183,0.270194,0.26802,0.258518,0.258082,0.275816,0.278716,0.243163,0.146068,0.0675637,0.0892355,0.136807,0.13223,0.163259,0.197771,0.211585,0.228505,0.20259,0.226456,0.246628,0.211784,0.219708,0.278376,0.282009,0.311394,0.34729,0.377955,0.337443,0.23189,0.303182,0.354818,0.38841,0.437567,0.471578,0.516417,0.586496,0.565131,0.292329,0.348397,0.450393,0.490861,0.565519,0.638018,0.645688,0.681837,0.735275,0.798701,0.820328,0.856159,0.865993,0.884204,0.899079,0.928693,0.942816,0.961617,1.00262,1.03633,1.0613,1.08492,1.10004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ch.4 Assessed,1900,1850,World,SSP3-7.0,K,Surface Air Temperature Change|5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.004819770795513,1.020225948862539,1.037919257276923,1.055630760218604,1.072718511267478,1.091036930738058,1.10903394042536,1.125932763916097,1.143262484378585,1.160836265680661,1.178657790469369,1.197034988864125,1.215712848447609,1.235792308145979,1.255146496187015,1.275278833145089,1.295744599205414,1.316980207957595,1.336947039888533,1.3594662297632,1.381661204023772,1.403978168746543,1.426399278753085,1.446730797623922,1.470006730247978,1.497057271705476,1.522525370547796,1.547611927652392,1.57146940378506,1.595442963947487,1.619481419050125,1.644293209809687,1.669187416101723,1.692866399262988,1.717817481824106,1.741237338665582,1.766395100576653,1.791891347211797,1.818807570092849,1.841548792347788,1.864379410344561,1.890380396065037,1.917329206136522,1.943529933304807,1.96768445859155,1.991583338776086,2.017031072289246,2.039082805036208,2.065378282077321,2.091989670442585,2.117522441911708,2.141511749361384,2.167577405493132,2.192251362475239,2.220263205402388,2.245425751454396,2.272365181894036,2.300354272016258,2.327844686603809,2.357693646417378,2.387656518565173,2.416924635885478,2.441958591641912,2.469616896904877,2.499193851587828,2.528447436634679,2.555687922642162,2.583027883172119,2.6116027362843,2.640273430007139,2.66891921881024,2.696717781777844,2.727168131089374,2.760144965854772,2.789997851651318,2.820434412846658,2.847464528518826,2.876382374570796,2.904347472582606,2.932247133822956,2.959684718253254,2.986875181628693,3.014037051279763,3.040392359924741,3.066456893205954
Ch.4 Assessed,1900,1850,World,SSP3-7.0,K,Surface Air Temperature Change|95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.191356909327664,1.223910537512729,1.257961741887633,1.293765534093176,1.333080908825384,1.370755150499996,1.406841456187012,1.442604037282837,1.473310668795081,1.51401739433267,1.549546990530077,1.585632059465587,1.62211737649294,1.6550380449204,1.692432561648252,1.730267693907512,1.768977615670483,1.807687353641295,1.847415638136963,1.886146522038763,1.924070301588838,1.967068668973933,2.006207026940428,2.046633260431213,2.086582468441344,2.128589055286525,2.166976675050206,2.214677385919436,2.256587779837925,2.299763869887964,2.3432549616771,2.386487628777335,2.429366418990997,2.470722476315645,2.513280735092999,2.558017478858506,2.599704479263395,2.643467119515468,2.687983500661307,2.732865773670462,2.781599759102049,2.827362135357538,2.872319337412776,2.917282494966078,2.963919836919363,3.009826119615078,3.05624038349743,3.104100940557562,3.15241865354326,3.198879473247207,3.24845854776435,3.297572649774224,3.346323494372681,3.395707389345838,3.444902872308395,3.493878921453836,3.543115348828445,3.592440615436652,3.642674969130392,3.692318713872721,3.743753445468802,3.795487203750297,3.847690731937435,3.898899249722946,3.950080480345767,4.001346384847652,4.053526173376081,4.103912571386135,4.157411058114665,4.213172010643015,4.268736129284125,4.323224653291321,4.377564293286152,4.432394144437368,4.484233766019299,4.541136017031783,4.595606189182653,4.649576731316001,4.704165499003323,4.75839778691346,4.812137963545464,4.867172565307548,4.922075236292883,4.975588315713626,5.027862931214472
Ch.4 Assessed,1900,1850,World,SSP3-7.0,K,Surface Air Temperature Change|Mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.094355371707038,1.117928984178943,1.14345095429993,1.169831476767321,1.194815689259759,1.220170946525605,1.246637159458847,1.272722974614036,1.298628834710558,1.323940761743512,1.349195875714134,1.375721085836694,1.403254349976567,1.432134838609275,1.460234515150054,1.488259292215729,1.51741063935421,1.546276025285596,1.574460239623207,1.601990581839867,1.629818762297442,1.659600945116512,1.690527409447634,1.720359927597269,1.74949416013746,1.781320366347479,1.815078355209781,1.847174852153686,1.876230381836789,1.907567188666911,1.940398883979673,1.973963076678114,2.006339542365465,2.037212553348312,2.066088304989041,2.100658251917069,2.133239501990834,2.166502307686905,2.200312819452086,2.234904157895377,2.26824955827806,2.30038069973691,2.333724096415747,2.368426761430688,2.403768093186974,2.438560718585168,2.473101372129817,2.510043872449884,2.546709029236752,2.584087019872368,2.621832669942718,2.658745783921758,2.695752566231816,2.729997830654546,2.764676094535205,2.799205476473919,2.837206249175318,2.875600342069001,2.912321572531544,2.950057145634794,2.987484986588048,3.028042487300728,3.065965236790399,3.102424882917156,3.140936603997937,3.181039699382553,3.218318401369723,3.254365012125843,3.293176549747868,3.332336794073793,3.371378585299003,3.409118710015789,3.448358067371647,3.489697213715231,3.529516524164657,3.567628710869407,3.606357659347934,3.645376136567721,3.684243772852491,3.721228859283594,3.758451683215963,3.796472137029357,3.835123649069157,3.872383480378294,3.908723065473456
Ch.4 Assessed,1900,1850,World,SSP1-2.6,K,Surface Air Temperature Change|5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.010285967774758,1.027753754711779,1.045768498432458,1.063368498105674,1.081300896354874,1.098654539785213,1.114052096759987,1.130232140427451,1.146167254061598,1.161122394217163,1.175604574476995,1.189768229429188,1.204514327446887,1.218856351014031,1.232814777127772,1.246874652623126,1.259753185410536,1.270556296118229,1.281696377240185,1.291473976248474,1.299266307520687,1.30763527108229,1.315347228111829,1.323293168817735,1.331534995524952,1.339642934842982,1.346727777709477,1.35433454408424,1.359253626710285,1.364642584769328,1.370174478217329,1.375088308876302,1.378215358878151,1.381058223241025,1.384713231056415,1.385745589833195,1.387556832138353,1.391785542769933,1.394137456632984,1.395253781119257,1.397690538587464,1.398037165187365,1.398942501964867,1.401268375470326,1.402425400320959,1.403041650386326,1.405418734387228,1.406355635398155,1.408127055833249,1.410168981864009,1.411076301432368,1.410641731865046,1.410876824470013,1.410725848341345,1.409967255576727,1.409463629662435,1.40914493602842,1.408099531978032,1.406717030312515,1.407026848722258,1.406321877010434,1.40704158033008,1.406602207009572,1.403537741154853,1.40025922090045,1.39835588150275,1.393610725629031,1.39190019218642,1.388847843520239,1.383839488382185,1.381853770216953,1.378968541637301,1.374163060368179,1.368898956217247,1.364901994617994,1.360256627395672,1.356950756895669,1.352560162192807,1.348302326392931,1.342932863215633,1.338564519109234,1.333901172743176,1.328776290290255,1.324557218774112,1.319652130358085
